IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.19.159.144,4,4,0.00,23.20,10.06,HKG
104.19.153.79,4,4,0.00,23.79,9.78,HKG
104.17.166.201,4,4,0.00,23.07,9.67,HKG
104.17.163.96,4,4,0.00,22.93,9.42,HKG
104.16.151.71,4,4,0.00,23.68,9.26,HKG
104.17.169.52,4,4,0.00,23.11,7.12,HKG
104.19.151.192,4,4,0.00,20.19,6.94,HKG
104.16.150.252,4,4,0.00,21.56,6.89,HKG
104.18.91.105,4,4,0.00,22.08,6.27,HKG
104.16.145.36,4,4,0.00,23.45,1.20,HKG
172.67.191.100,4,2,0.50,170.02,0.00,N/A
104.19.38.182,4,1,0.75,25.17,0.00,N/A
104.18.85.190,4,4,0.00,24.35,0.00,N/A
104.17.164.211,4,4,0.00,24.38,0.00,N/A
104.16.147.40,4,4,0.00,24.42,0.00,N/A
104.16.144.39,4,4,0.00,24.42,0.00,N/A
104.16.244.248,4,4,0.00,24.48,0.00,N/A
104.19.149.190,4,4,0.00,24.60,0.00,N/A
104.16.149.27,4,4,0.00,24.64,0.00,N/A
104.17.162.225,4,4,0.00,24.82,0.00,N/A
104.16.152.47,4,4,0.00,24.84,0.00,N/A
198.41.208.225,4,4,0.00,24.88,0.00,N/A
104.17.165.90,4,4,0.00,25.03,0.00,N/A
104.16.146.5,4,4,0.00,25.17,0.00,N/A
104.17.170.160,4,4,0.00,25.17,0.00,N/A
104.17.208.197,4,4,0.00,25.27,0.00,N/A
104.17.161.134,4,4,0.00,25.34,0.00,N/A
104.17.168.239,4,4,0.00,25.40,0.00,N/A
198.41.209.12,4,4,0.00,25.46,0.00,N/A
104.16.153.124,4,4,0.00,25.51,0.00,N/A
104.17.167.104,4,4,0.00,25.86,0.00,N/A
104.17.171.63,4,4,0.00,26.06,0.00,N/A
162.159.201.49,4,4,0.00,26.16,0.00,N/A
172.64.157.176,4,4,0.00,26.32,0.00,N/A
104.19.158.52,4,4,0.00,26.51,0.00,N/A
104.19.154.21,4,4,0.00,26.55,0.00,N/A
104.16.148.27,4,4,0.00,26.84,0.00,N/A
104.17.215.11,4,4,0.00,27.87,0.00,N/A
104.18.92.10,4,4,0.00,28.40,0.00,N/A
172.64.229.105,4,4,0.00,28.93,0.00,N/A
172.65.227.123,4,4,0.00,74.51,0.00,N/A
104.25.253.26,4,4,0.00,76.65,0.00,N/A
172.67.75.19,4,4,0.00,159.70,0.00,N/A
104.18.5.211,4,4,0.00,159.76,0.00,N/A
172.65.32.40,4,4,0.00,160.17,0.00,N/A
104.17.253.149,4,4,0.00,160.33,0.00,N/A
104.18.7.124,4,4,0.00,160.55,0.00,N/A
104.18.1.170,4,4,0.00,160.64,0.00,N/A
104.18.3.185,4,4,0.00,160.67,0.00,N/A
104.18.2.48,4,4,0.00,160.85,0.00,N/A
104.18.8.89,4,4,0.00,161.05,0.00,N/A
104.18.9.132,4,4,0.00,162.17,0.00,N/A
104.17.247.241,4,4,0.00,162.23,0.00,N/A
104.18.4.226,4,4,0.00,162.28,0.00,N/A
104.18.6.27,4,4,0.00,163.76,0.00,N/A
104.17.254.225,4,4,0.00,163.87,0.00,N/A
104.17.255.6,4,4,0.00,163.93,0.00,N/A
104.18.0.101,4,4,0.00,164.53,0.00,N/A
104.16.48.39,4,4,0.00,164.82,0.00,N/A
104.25.152.39,4,4,0.00,165.82,0.00,N/A
104.25.160.234,4,4,0.00,166.02,0.00,N/A
198.41.196.151,4,4,0.00,166.05,0.00,N/A
104.16.223.92,4,4,0.00,166.55,0.00,N/A
104.18.203.84,4,4,0.00,166.57,0.00,N/A
104.24.15.226,4,4,0.00,166.75,0.00,N/A
162.159.205.143,4,4,0.00,166.76,0.00,N/A
172.65.49.107,4,4,0.00,166.81,0.00,N/A
104.25.188.185,4,4,0.00,167.05,0.00,N/A
104.24.51.10,4,4,0.00,167.11,0.00,N/A
162.159.91.193,4,4,0.00,167.34,0.00,N/A
172.65.59.130,4,4,0.00,167.50,0.00,N/A
104.16.50.126,4,4,0.00,167.87,0.00,N/A
104.16.38.177,4,4,0.00,168.00,0.00,N/A
172.65.86.208,4,4,0.00,168.22,0.00,N/A
104.25.159.160,4,4,0.00,168.54,0.00,N/A
104.16.28.180,4,4,0.00,168.69,0.00,N/A
162.159.48.250,4,4,0.00,168.71,0.00,N/A
104.24.57.43,4,4,0.00,168.79,0.00,N/A
162.159.50.80,4,4,0.00,168.97,0.00,N/A
172.65.12.50,4,4,0.00,169.02,0.00,N/A
172.65.138.115,4,4,0.00,169.14,0.00,N/A
198.41.199.97,4,4,0.00,169.15,0.00,N/A
104.24.213.51,4,4,0.00,169.24,0.00,N/A
104.24.34.1,4,4,0.00,169.35,0.00,N/A
104.24.46.210,4,4,0.00,169.37,0.00,N/A
104.24.68.137,4,4,0.00,169.42,0.00,N/A
104.25.158.162,4,4,0.00,169.44,0.00,N/A
162.159.93.239,4,4,0.00,169.54,0.00,N/A
104.16.26.187,4,4,0.00,169.55,0.00,N/A
104.24.36.65,4,4,0.00,169.56,0.00,N/A
172.65.145.118,4,4,0.00,169.57,0.00,N/A
162.159.24.26,4,4,0.00,169.63,0.00,N/A
198.41.195.58,4,4,0.00,169.94,0.00,N/A
104.16.30.90,4,4,0.00,169.96,0.00,N/A
162.159.35.82,4,4,0.00,170.04,0.00,N/A
104.16.34.157,4,4,0.00,170.06,0.00,N/A
162.159.196.180,4,4,0.00,170.10,0.00,N/A
104.25.139.135,4,4,0.00,170.10,0.00,N/A
198.41.204.119,4,4,0.00,170.12,0.00,N/A
104.24.17.173,4,4,0.00,170.16,0.00,N/A
104.20.16.216,4,4,0.00,170.16,0.00,N/A
172.65.13.188,4,4,0.00,170.17,0.00,N/A
172.65.70.37,4,4,0.00,170.22,0.00,N/A
162.159.5.139,4,4,0.00,170.24,0.00,N/A
104.24.49.67,4,4,0.00,170.25,0.00,N/A
104.27.195.220,4,4,0.00,170.30,0.00,N/A
104.24.93.193,4,4,0.00,170.32,0.00,N/A
104.16.238.149,4,4,0.00,170.34,0.00,N/A
172.65.148.195,4,4,0.00,170.37,0.00,N/A
162.159.4.205,4,4,0.00,170.38,0.00,N/A
172.65.23.115,4,4,0.00,170.40,0.00,N/A
198.41.215.233,4,4,0.00,170.43,0.00,N/A
162.159.51.225,4,4,0.00,170.44,0.00,N/A
172.67.255.109,4,4,0.00,170.45,0.00,N/A
104.25.172.251,4,4,0.00,170.52,0.00,N/A
104.16.205.254,4,4,0.00,170.52,0.00,N/A
104.17.194.1,4,4,0.00,170.53,0.00,N/A
172.65.30.180,4,4,0.00,170.57,0.00,N/A
104.24.39.110,4,4,0.00,170.59,0.00,N/A
104.24.59.145,4,4,0.00,170.66,0.00,N/A
104.16.41.210,4,4,0.00,170.68,0.00,N/A
104.25.88.242,4,4,0.00,170.68,0.00,N/A
104.16.60.43,4,4,0.00,170.70,0.00,N/A
104.25.129.111,4,4,0.00,170.74,0.00,N/A
104.24.89.17,4,4,0.00,170.75,0.00,N/A
198.41.205.176,4,4,0.00,170.76,0.00,N/A
104.25.45.139,4,4,0.00,170.82,0.00,N/A
104.25.157.80,4,4,0.00,170.88,0.00,N/A
172.66.215.236,4,4,0.00,170.89,0.00,N/A
198.41.203.38,4,4,0.00,170.89,0.00,N/A
104.24.146.191,4,4,0.00,170.91,0.00,N/A
104.18.36.248,4,4,0.00,170.92,0.00,N/A
162.159.13.73,4,4,0.00,170.96,0.00,N/A
162.159.32.15,4,4,0.00,171.00,0.00,N/A
198.41.223.30,4,4,0.00,171.01,0.00,N/A
104.24.148.137,4,4,0.00,171.05,0.00,N/A
172.64.230.120,4,4,0.00,171.09,0.00,N/A
104.16.25.160,4,4,0.00,171.16,0.00,N/A
162.159.25.65,4,4,0.00,171.23,0.00,N/A
104.24.42.224,4,4,0.00,171.24,0.00,N/A
162.159.11.33,4,4,0.00,171.30,0.00,N/A
104.16.56.211,4,4,0.00,171.35,0.00,N/A
104.24.0.99,4,4,0.00,171.40,0.00,N/A
162.159.95.223,4,4,0.00,171.42,0.00,N/A
104.16.214.176,4,4,0.00,171.43,0.00,N/A
104.24.56.34,4,4,0.00,171.56,0.00,N/A
162.159.14.148,4,4,0.00,171.57,0.00,N/A
198.41.193.136,4,4,0.00,171.58,0.00,N/A
104.16.87.58,4,4,0.00,171.64,0.00,N/A
162.159.81.140,4,4,0.00,171.73,0.00,N/A
104.16.47.60,4,4,0.00,171.77,0.00,N/A
162.159.15.17,4,4,0.00,171.82,0.00,N/A
104.16.220.124,4,4,0.00,171.86,0.00,N/A
162.159.202.198,4,4,0.00,171.87,0.00,N/A
104.24.37.83,4,4,0.00,171.92,0.00,N/A
172.66.213.103,4,4,0.00,172.01,0.00,N/A
172.65.108.220,4,4,0.00,172.03,0.00,N/A
104.24.45.79,4,4,0.00,172.04,0.00,N/A
104.16.210.160,4,4,0.00,172.11,0.00,N/A
198.41.198.211,4,4,0.00,172.14,0.00,N/A
104.27.69.34,4,4,0.00,172.17,0.00,N/A
162.159.22.87,4,4,0.00,172.22,0.00,N/A
104.25.90.60,4,4,0.00,172.23,0.00,N/A
198.41.218.46,4,4,0.00,172.25,0.00,N/A
