IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.155.184,4,4,0.00,24.38,10.94,HKG
172.64.229.249,4,4,0.00,23.42,10.90,HKG
172.64.156.200,4,4,0.00,24.82,10.86,HKG
172.64.145.49,4,4,0.00,24.07,10.73,HKG
172.64.157.230,4,4,0.00,25.10,9.77,HKG
172.64.152.93,4,4,0.00,23.56,7.21,HKG
172.64.158.71,4,4,0.00,25.06,6.54,HKG
172.64.147.37,4,4,0.00,23.75,5.31,HKG
172.64.144.193,4,4,0.00,24.21,5.28,HKG
172.64.154.212,4,4,0.00,24.77,4.21,HKG
172.67.131.131,4,4,0.00,211.99,0.00,N/A
172.67.147.200,4,4,0.00,161.84,0.00,N/A
172.64.146.5,4,4,0.00,72.40,0.00,N/A
172.66.1.30,4,4,0.00,73.74,0.00,N/A
104.25.254.68,4,4,0.00,74.31,0.00,N/A
172.65.224.39,4,4,0.00,74.41,0.00,N/A
104.25.249.59,4,4,0.00,74.55,0.00,N/A
104.25.255.238,4,4,0.00,75.02,0.00,N/A
172.64.153.156,4,4,0.00,78.04,0.00,N/A
172.65.46.119,4,4,0.00,158.95,0.00,N/A
172.65.47.88,4,4,0.00,159.10,0.00,N/A
172.67.161.96,4,4,0.00,159.11,0.00,N/A
172.67.170.82,4,4,0.00,159.12,0.00,N/A
172.67.72.214,4,4,0.00,159.19,0.00,N/A
172.65.37.225,4,4,0.00,159.29,0.00,N/A
172.67.68.221,4,4,0.00,159.30,0.00,N/A
172.67.152.18,4,4,0.00,159.42,0.00,N/A
172.67.162.104,4,4,0.00,159.67,0.00,N/A
172.67.175.249,4,4,0.00,159.71,0.00,N/A
172.65.41.99,4,4,0.00,159.76,0.00,N/A
172.67.153.46,4,4,0.00,159.88,0.00,N/A
172.65.44.204,4,4,0.00,159.89,0.00,N/A
172.67.159.65,4,4,0.00,159.96,0.00,N/A
172.65.32.9,4,4,0.00,160.19,0.00,N/A
172.67.166.96,4,4,0.00,160.31,0.00,N/A
172.65.33.181,4,4,0.00,160.32,0.00,N/A
172.67.150.24,4,4,0.00,160.33,0.00,N/A
172.67.70.13,4,4,0.00,160.42,0.00,N/A
172.65.39.20,4,4,0.00,160.47,0.00,N/A
172.67.67.97,4,4,0.00,160.69,0.00,N/A
172.65.45.211,4,4,0.00,160.70,0.00,N/A
172.66.40.113,4,4,0.00,160.75,0.00,N/A
172.65.34.171,4,4,0.00,160.83,0.00,N/A
172.67.75.173,4,4,0.00,160.92,0.00,N/A
172.66.44.89,4,4,0.00,161.02,0.00,N/A
172.67.164.199,4,4,0.00,161.19,0.00,N/A
172.67.171.74,4,4,0.00,161.27,0.00,N/A
172.67.169.43,4,4,0.00,161.33,0.00,N/A
172.67.144.211,4,4,0.00,161.35,0.00,N/A
172.65.38.91,4,4,0.00,161.37,0.00,N/A
172.67.149.39,4,4,0.00,161.41,0.00,N/A
172.67.172.70,4,4,0.00,161.50,0.00,N/A
172.65.40.83,4,4,0.00,161.50,0.00,N/A
172.67.73.238,4,4,0.00,161.50,0.00,N/A
172.67.168.151,4,4,0.00,161.61,0.00,N/A
172.67.157.116,4,4,0.00,161.65,0.00,N/A
172.66.41.222,4,4,0.00,161.68,0.00,N/A
104.29.126.26,4,4,0.00,217.36,0.00,N/A
172.67.163.251,4,4,0.00,161.85,0.00,N/A
172.67.155.149,4,4,0.00,161.93,0.00,N/A
172.67.79.189,4,4,0.00,161.93,0.00,N/A
172.65.36.68,4,4,0.00,161.94,0.00,N/A
172.66.43.178,4,4,0.00,161.95,0.00,N/A
172.67.165.113,4,4,0.00,162.12,0.00,N/A
172.67.160.59,4,4,0.00,162.22,0.00,N/A
