IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.96.156,4,4,0.00,21.23,8.40,HKG
104.17.100.95,4,4,0.00,24.50,7.03,HKG
104.17.99.134,4,4,0.00,22.95,5.89,HKG
104.19.154.250,4,4,0.00,22.15,4.55,HKG
104.17.20.36,4,4,0.00,24.01,3.19,HKG
104.19.156.92,4,4,0.00,23.82,2.57,HKG
104.19.158.7,4,4,0.00,23.08,0.48,HKG
104.19.152.22,4,4,0.00,24.06,0.00,N/A
162.159.201.233,4,4,0.00,24.09,0.00,N/A
104.16.155.108,4,4,0.00,24.29,0.00,N/A
104.17.98.173,4,4,0.00,24.60,0.00,N/A
104.17.147.14,4,4,0.00,24.80,0.00,N/A
104.19.155.76,4,4,0.00,24.83,0.00,N/A
104.19.153.232,4,4,0.00,24.86,0.00,N/A
104.16.241.83,4,4,0.00,24.86,0.00,N/A
104.17.146.198,4,4,0.00,24.93,0.00,N/A
104.19.157.84,4,4,0.00,24.96,0.00,N/A
104.16.154.93,4,4,0.00,24.96,0.00,N/A
104.18.45.200,4,4,0.00,25.19,0.00,N/A
104.17.120.251,4,4,0.00,25.25,0.00,N/A
104.17.144.38,4,4,0.00,25.33,0.00,N/A
104.16.254.190,4,4,0.00,25.33,0.00,N/A
104.16.159.176,4,4,0.00,25.34,0.00,N/A
104.16.156.136,4,4,0.00,25.34,0.00,N/A
104.17.119.186,4,4,0.00,25.36,0.00,N/A
104.17.25.34,4,4,0.00,25.39,0.00,N/A
104.17.97.218,4,4,0.00,25.42,0.00,N/A
104.16.245.118,4,4,0.00,25.55,0.00,N/A
104.17.103.94,4,4,0.00,25.84,0.00,N/A
104.18.39.63,4,4,0.00,25.94,0.00,N/A
104.17.117.108,4,4,0.00,26.03,0.00,N/A
104.17.104.250,4,4,0.00,26.07,0.00,N/A
104.17.102.5,4,4,0.00,26.09,0.00,N/A
104.16.147.166,4,4,0.00,26.10,0.00,N/A
104.16.149.233,4,4,0.00,26.13,0.00,N/A
104.18.43.207,4,4,0.00,26.15,0.00,N/A
104.18.44.222,4,4,0.00,26.15,0.00,N/A
104.18.42.223,4,4,0.00,26.16,0.00,N/A
104.17.107.157,4,4,0.00,26.18,0.00,N/A
104.17.105.3,4,4,0.00,26.22,0.00,N/A
198.41.209.130,4,4,0.00,26.39,0.00,N/A
198.41.208.26,4,4,0.00,26.39,0.00,N/A
104.16.153.63,4,4,0.00,26.50,0.00,N/A
104.16.252.187,4,4,0.00,26.58,0.00,N/A
104.17.112.240,4,4,0.00,26.60,0.00,N/A
104.16.158.167,4,4,0.00,26.61,0.00,N/A
104.17.59.39,4,4,0.00,26.65,0.00,N/A
104.16.253.7,4,4,0.00,26.69,0.00,N/A
104.17.148.171,4,4,0.00,26.71,0.00,N/A
104.17.18.181,4,4,0.00,26.73,0.00,N/A
104.17.51.91,4,4,0.00,26.73,0.00,N/A
104.17.17.57,4,4,0.00,26.75,0.00,N/A
104.17.121.149,4,4,0.00,26.82,0.00,N/A
104.16.249.207,4,4,0.00,26.84,0.00,N/A
104.18.46.102,4,4,0.00,26.85,0.00,N/A
104.16.248.97,4,4,0.00,26.88,0.00,N/A
104.18.35.140,4,4,0.00,26.88,0.00,N/A
104.17.16.237,4,4,0.00,26.89,0.00,N/A
104.16.157.169,4,4,0.00,26.91,0.00,N/A
104.19.151.18,4,4,0.00,26.96,0.00,N/A
104.17.123.28,4,4,0.00,26.97,0.00,N/A
104.16.244.121,4,4,0.00,27.02,0.00,N/A
104.17.62.82,4,4,0.00,27.03,0.00,N/A
104.17.124.146,4,4,0.00,27.05,0.00,N/A
104.19.159.131,4,4,0.00,27.11,0.00,N/A
104.17.57.113,4,4,0.00,27.11,0.00,N/A
104.17.61.226,4,4,0.00,27.17,0.00,N/A
104.17.101.133,4,4,0.00,27.19,0.00,N/A
104.17.122.184,4,4,0.00,27.23,0.00,N/A
104.17.150.142,4,4,0.00,27.27,0.00,N/A
104.17.111.195,4,4,0.00,27.28,0.00,N/A
104.16.144.237,4,4,0.00,27.38,0.00,N/A
104.17.115.185,4,4,0.00,27.40,0.00,N/A
104.17.127.126,4,4,0.00,27.48,0.00,N/A
104.17.31.162,4,4,0.00,27.52,0.00,N/A
104.17.29.35,4,4,0.00,27.54,0.00,N/A
104.17.30.199,4,4,0.00,27.54,0.00,N/A
104.17.108.125,4,4,0.00,27.64,0.00,N/A
104.17.28.18,4,4,0.00,27.67,0.00,N/A
104.17.58.115,4,4,0.00,27.69,0.00,N/A
104.16.148.3,4,4,0.00,27.72,0.00,N/A
104.17.110.77,4,4,0.00,27.78,0.00,N/A
104.17.54.45,4,4,0.00,27.81,0.00,N/A
104.17.109.28,4,4,0.00,27.84,0.00,N/A
104.17.49.154,4,4,0.00,27.94,0.00,N/A
104.16.242.138,4,4,0.00,27.97,0.00,N/A
104.16.146.209,4,4,0.00,27.98,0.00,N/A
104.17.27.148,4,4,0.00,28.01,0.00,N/A
104.17.145.202,4,4,0.00,28.03,0.00,N/A
104.17.114.137,4,4,0.00,28.12,0.00,N/A
104.18.47.225,4,4,0.00,28.13,0.00,N/A
104.17.154.87,4,4,0.00,28.16,0.00,N/A
