IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.66.42.121,4,4,0.00,159.80,11.58,SEA
172.64.158.242,4,4,0.00,21.17,11.35,HKG
104.16.155.137,4,4,0.00,22.23,9.55,HKG
104.16.148.16,4,4,0.00,24.15,9.55,HKG
172.64.159.108,4,4,0.00,25.71,8.58,HKG
172.64.146.206,4,4,0.00,74.92,8.25,HKG
172.66.1.26,4,4,0.00,72.76,0.00,N/A
172.66.3.34,4,4,0.00,74.23,0.00,N/A
172.66.2.191,4,4,0.00,76.85,0.00,N/A
172.65.36.77,4,4,0.00,159.66,0.00,N/A
172.65.46.89,4,4,0.00,160.15,0.00,N/A
172.66.41.7,4,4,0.00,160.59,0.00,N/A
172.67.154.71,4,4,0.00,160.92,0.00,N/A
172.67.172.201,4,4,0.00,161.13,0.00,N/A
172.67.165.180,4,4,0.00,161.14,0.00,N/A
172.67.171.234,4,4,0.00,161.26,0.00,N/A
172.65.45.27,4,4,0.00,161.29,0.00,N/A
172.65.43.61,4,4,0.00,161.86,0.00,N/A
172.66.40.75,4,4,0.00,161.99,0.00,N/A
172.67.167.208,4,4,0.00,162.51,0.00,N/A
172.65.44.70,4,4,0.00,163.63,0.00,N/A
172.65.84.221,4,4,0.00,164.25,0.00,N/A
172.64.35.80,4,4,0.00,166.64,0.00,N/A
104.24.196.116,4,4,0.00,166.77,0.00,N/A
172.67.85.234,4,4,0.00,166.79,0.00,N/A
172.67.89.163,4,4,0.00,166.91,0.00,N/A
172.65.167.130,4,4,0.00,166.92,0.00,N/A
104.24.243.68,4,4,0.00,166.94,0.00,N/A
172.65.133.25,4,4,0.00,167.02,0.00,N/A
162.159.41.93,4,4,0.00,167.05,0.00,N/A
104.25.148.226,4,4,0.00,167.08,0.00,N/A
104.25.85.40,4,4,0.00,167.81,0.00,N/A
172.64.42.32,4,4,0.00,168.05,0.00,N/A
104.16.26.252,4,4,0.00,168.10,0.00,N/A
