IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
190.93.245.135,4,2,0.50,69.64,0.00,N/A
190.93.247.12,4,2,0.50,70.43,0.00,N/A
104.19.211.203,4,2,0.50,70.99,0.00,N/A
1.1.1.218,4,2,0.50,72.19,0.00,N/A
104.25.254.175,4,2,0.50,72.33,0.00,N/A
104.25.241.156,4,2,0.50,73.33,0.00,N/A
104.25.244.144,4,2,0.50,74.35,0.00,N/A
104.19.221.115,4,2,0.50,76.02,0.00,N/A
104.25.250.1,4,2,0.50,76.26,0.00,N/A
91.193.58.173,4,2,0.50,76.86,0.00,N/A
104.25.240.213,4,2,0.50,80.01,0.00,N/A
1.1.1.220,4,2,0.50,80.28,0.00,N/A
1.1.1.235,4,2,0.50,85.00,0.00,N/A
1.1.1.232,4,2,0.50,85.00,0.00,N/A
104.25.249.64,4,2,0.50,85.39,0.00,N/A
104.25.251.161,4,2,0.50,86.29,0.00,N/A
91.193.59.44,4,2,0.50,86.35,0.00,N/A
104.25.253.171,4,2,0.50,86.81,0.00,N/A
1.1.1.179,4,2,0.50,86.81,0.00,N/A
1.1.1.180,4,2,0.50,87.34,0.00,N/A
1.1.1.213,4,2,0.50,89.69,0.00,N/A
104.17.130.123,4,2,0.50,89.76,0.00,N/A
1.1.1.219,4,2,0.50,90.12,0.00,N/A
1.1.1.207,4,2,0.50,92.78,0.00,N/A
1.1.1.131,4,2,0.50,93.43,0.00,N/A
1.1.1.28,4,2,0.50,99.99,0.00,N/A
1.1.1.209,4,2,0.50,102.62,0.00,N/A
1.1.1.34,4,2,0.50,105.00,0.00,N/A
162.159.45.41,4,2,0.50,177.65,0.00,N/A
162.159.32.191,4,2,0.50,183.12,0.00,N/A
104.24.182.29,4,2,0.50,183.33,0.00,N/A
1.0.0.208,4,2,0.50,183.34,0.00,N/A
104.19.201.28,4,2,0.50,184.15,0.00,N/A
104.27.72.225,4,2,0.50,185.68,0.00,N/A
104.27.75.104,4,2,0.50,187.68,0.00,N/A
104.25.127.84,4,2,0.50,188.42,0.00,N/A
198.41.200.117,4,2,0.50,192.71,0.00,N/A
104.24.194.203,4,2,0.50,194.43,0.00,N/A
172.67.189.133,4,2,0.50,196.90,0.00,N/A
1.0.0.209,4,2,0.50,197.83,0.00,N/A
104.25.107.252,4,2,0.50,205.34,0.00,N/A
1.0.0.192,4,2,0.50,205.55,0.00,N/A
1.0.0.170,4,2,0.50,211.26,0.00,N/A
