IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.17.238,4,4,0.00,22.90,11.66,HKG
104.16.249.25,4,4,0.00,23.05,11.44,HKG
104.16.243.81,4,4,0.00,22.50,11.22,HKG
104.16.148.13,4,4,0.00,22.90,11.10,HKG
104.16.150.42,4,4,0.00,23.18,9.47,HKG
104.16.250.226,4,4,0.00,22.87,8.48,HKG
104.17.219.169,4,4,0.00,22.30,7.60,HKG
104.16.248.162,4,4,0.00,23.46,6.37,HKG
104.16.241.112,4,4,0.00,22.71,6.36,HKG
104.17.223.73,4,4,0.00,22.84,1.09,HKG
104.16.229.40,4,2,0.50,163.26,0.00,N/A
172.66.47.11,4,1,0.75,160.15,0.00,N/A
104.17.222.66,4,4,0.00,23.77,0.00,N/A
104.16.252.249,4,4,0.00,23.81,0.00,N/A
162.159.201.113,4,4,0.00,23.88,0.00,N/A
104.17.147.193,4,4,0.00,23.97,0.00,N/A
104.17.208.40,4,4,0.00,24.02,0.00,N/A
104.17.214.221,4,4,0.00,24.05,0.00,N/A
104.17.210.126,4,4,0.00,24.16,0.00,N/A
104.17.145.239,4,4,0.00,24.23,0.00,N/A
172.64.229.42,4,4,0.00,24.54,0.00,N/A
104.17.181.240,4,4,0.00,24.73,0.00,N/A
104.17.163.219,4,4,0.00,24.75,0.00,N/A
198.41.209.96,4,4,0.00,24.76,0.00,N/A
104.17.100.183,4,4,0.00,24.77,0.00,N/A
104.17.213.166,4,4,0.00,24.85,0.00,N/A
198.41.208.68,4,4,0.00,24.86,0.00,N/A
104.16.152.140,4,4,0.00,24.98,0.00,N/A
104.17.148.175,4,4,0.00,25.00,0.00,N/A
104.17.215.207,4,4,0.00,25.20,0.00,N/A
104.17.217.214,4,4,0.00,25.24,0.00,N/A
104.17.220.215,4,4,0.00,25.32,0.00,N/A
104.17.211.51,4,4,0.00,25.39,0.00,N/A
104.17.216.161,4,4,0.00,25.47,0.00,N/A
104.17.221.180,4,4,0.00,25.49,0.00,N/A
104.17.149.90,4,4,0.00,25.52,0.00,N/A
104.17.182.9,4,4,0.00,25.62,0.00,N/A
172.64.155.18,4,4,0.00,25.71,0.00,N/A
104.16.242.36,4,4,0.00,25.75,0.00,N/A
104.17.20.187,4,4,0.00,25.84,0.00,N/A
104.17.209.229,4,4,0.00,25.91,0.00,N/A
104.17.146.8,4,4,0.00,26.27,0.00,N/A
104.16.240.29,4,4,0.00,26.44,0.00,N/A
104.17.26.116,4,4,0.00,26.53,0.00,N/A
104.17.218.45,4,4,0.00,26.72,0.00,N/A
104.16.147.206,4,4,0.00,27.13,0.00,N/A
104.16.145.45,4,4,0.00,27.24,0.00,N/A
104.17.24.76,4,4,0.00,28.46,0.00,N/A
104.17.25.7,4,4,0.00,28.95,0.00,N/A
104.17.236.13,4,4,0.00,158.74,0.00,N/A
172.67.162.2,4,4,0.00,158.88,0.00,N/A
104.18.14.59,4,4,0.00,159.05,0.00,N/A
104.18.13.128,4,4,0.00,159.29,0.00,N/A
172.67.65.131,4,4,0.00,159.31,0.00,N/A
172.67.170.224,4,4,0.00,159.84,0.00,N/A
172.66.194.130,4,2,0.50,165.85,0.00,N/A
104.18.11.80,4,4,0.00,160.18,0.00,N/A
104.17.253.167,4,4,0.00,160.34,0.00,N/A
104.18.10.147,4,4,0.00,160.37,0.00,N/A
104.18.0.185,4,4,0.00,160.50,0.00,N/A
104.18.3.42,4,4,0.00,160.70,0.00,N/A
104.18.4.17,4,4,0.00,160.73,0.00,N/A
104.18.12.180,4,4,0.00,160.78,0.00,N/A
104.18.15.113,4,4,0.00,160.90,0.00,N/A
104.18.7.183,4,4,0.00,161.37,0.00,N/A
104.18.8.196,4,4,0.00,161.57,0.00,N/A
104.18.9.127,4,4,0.00,161.69,0.00,N/A
104.17.235.216,4,4,0.00,161.86,0.00,N/A
104.18.63.158,4,4,0.00,162.33,0.00,N/A
104.17.233.30,4,4,0.00,162.57,0.00,N/A
104.17.238.99,4,4,0.00,162.64,0.00,N/A
104.18.5.31,4,4,0.00,163.02,0.00,N/A
104.17.239.188,4,4,0.00,163.23,0.00,N/A
172.64.189.4,4,4,0.00,163.45,0.00,N/A
172.67.163.240,4,4,0.00,163.68,0.00,N/A
104.17.195.15,4,4,0.00,167.05,0.00,N/A
162.159.49.246,4,4,0.00,167.29,0.00,N/A
104.16.38.61,4,4,0.00,167.32,0.00,N/A
172.64.95.183,4,4,0.00,167.33,0.00,N/A
162.159.207.209,4,4,0.00,167.48,0.00,N/A
104.18.65.64,4,4,0.00,167.48,0.00,N/A
172.64.94.81,4,4,0.00,167.67,0.00,N/A
172.64.235.194,4,4,0.00,168.09,0.00,N/A
162.159.6.72,4,4,0.00,168.22,0.00,N/A
162.159.56.193,4,4,0.00,168.40,0.00,N/A
104.16.200.192,4,4,0.00,168.46,0.00,N/A
104.16.91.15,4,4,0.00,168.58,0.00,N/A
172.64.185.100,4,4,0.00,168.74,0.00,N/A
162.159.194.53,4,4,0.00,168.82,0.00,N/A
162.159.236.202,4,4,0.00,168.82,0.00,N/A
162.159.15.13,4,4,0.00,168.95,0.00,N/A
104.18.69.16,4,4,0.00,169.07,0.00,N/A
172.64.90.176,4,4,0.00,169.09,0.00,N/A
172.64.36.104,4,4,0.00,169.14,0.00,N/A
104.16.56.156,4,4,0.00,169.18,0.00,N/A
162.159.81.242,4,4,0.00,169.21,0.00,N/A
104.16.88.224,4,4,0.00,169.22,0.00,N/A
172.64.93.42,4,4,0.00,169.23,0.00,N/A
104.17.1.182,4,4,0.00,169.26,0.00,N/A
198.41.199.196,4,4,0.00,169.53,0.00,N/A
104.16.175.225,4,4,0.00,169.53,0.00,N/A
104.16.218.254,4,4,0.00,169.56,0.00,N/A
162.159.38.212,4,4,0.00,169.64,0.00,N/A
172.65.1.25,4,4,0.00,169.77,0.00,N/A
104.16.217.125,4,4,0.00,169.82,0.00,N/A
104.18.53.163,4,4,0.00,169.83,0.00,N/A
162.159.213.62,4,4,0.00,169.90,0.00,N/A
104.16.204.199,4,4,0.00,169.91,0.00,N/A
104.16.42.211,4,4,0.00,170.05,0.00,N/A
104.16.198.128,4,4,0.00,170.07,0.00,N/A
162.159.212.65,4,4,0.00,170.07,0.00,N/A
162.159.93.39,4,4,0.00,170.13,0.00,N/A
104.18.61.58,4,4,0.00,170.18,0.00,N/A
162.159.9.155,4,4,0.00,170.27,0.00,N/A
104.16.35.211,4,4,0.00,170.28,0.00,N/A
104.16.188.207,4,4,0.00,170.34,0.00,N/A
104.16.170.127,4,4,0.00,170.51,0.00,N/A
104.16.172.50,4,4,0.00,170.52,0.00,N/A
172.64.91.114,4,4,0.00,170.55,0.00,N/A
162.159.34.32,4,4,0.00,170.56,0.00,N/A
172.66.143.190,4,4,0.00,170.59,0.00,N/A
104.16.215.55,4,4,0.00,170.60,0.00,N/A
162.159.27.10,4,4,0.00,170.63,0.00,N/A
172.67.242.249,4,4,0.00,170.65,0.00,N/A
172.66.145.251,4,4,0.00,170.65,0.00,N/A
190.93.245.245,4,4,0.00,170.70,0.00,N/A
104.16.34.228,4,4,0.00,170.76,0.00,N/A
172.65.154.218,4,4,0.00,170.85,0.00,N/A
162.159.41.233,4,4,0.00,170.88,0.00,N/A
172.64.35.26,4,4,0.00,170.95,0.00,N/A
104.16.29.149,4,4,0.00,170.99,0.00,N/A
104.16.46.88,4,4,0.00,171.06,0.00,N/A
162.159.1.124,4,4,0.00,171.08,0.00,N/A
104.17.2.208,4,4,0.00,171.12,0.00,N/A
162.159.62.40,4,4,0.00,171.17,0.00,N/A
198.41.223.136,4,4,0.00,171.18,0.00,N/A
162.159.32.242,4,4,0.00,171.18,0.00,N/A
162.159.33.14,4,4,0.00,171.19,0.00,N/A
172.64.187.203,4,4,0.00,171.23,0.00,N/A
104.16.231.149,4,4,0.00,171.24,0.00,N/A
172.64.96.232,4,4,0.00,171.25,0.00,N/A
172.66.132.237,4,4,0.00,171.30,0.00,N/A
104.16.55.112,4,4,0.00,171.30,0.00,N/A
162.159.61.99,4,4,0.00,171.32,0.00,N/A
172.67.243.91,4,4,0.00,171.43,0.00,N/A
104.16.31.146,4,4,0.00,171.45,0.00,N/A
104.16.89.16,4,4,0.00,171.46,0.00,N/A
162.159.60.177,4,4,0.00,171.57,0.00,N/A
172.64.232.166,4,4,0.00,171.61,0.00,N/A
104.17.10.139,4,4,0.00,171.65,0.00,N/A
172.66.128.40,4,4,0.00,171.66,0.00,N/A
172.65.5.204,4,4,0.00,171.70,0.00,N/A
104.16.209.3,4,4,0.00,171.73,0.00,N/A
172.66.147.1,4,4,0.00,171.74,0.00,N/A
104.16.184.137,4,4,0.00,171.83,0.00,N/A
162.159.12.236,4,4,0.00,171.86,0.00,N/A
173.245.49.180,4,4,0.00,171.88,0.00,N/A
172.66.157.93,4,4,0.00,171.88,0.00,N/A
162.159.95.5,4,4,0.00,171.91,0.00,N/A
104.16.180.181,4,4,0.00,171.91,0.00,N/A
198.41.214.93,4,4,0.00,171.92,0.00,N/A
198.41.216.28,4,4,0.00,171.92,0.00,N/A
104.16.24.217,4,4,0.00,172.01,0.00,N/A
104.24.169.100,4,4,0.00,172.04,0.00,N/A
172.64.188.133,4,4,0.00,172.08,0.00,N/A
162.159.57.229,4,4,0.00,172.14,0.00,N/A
104.16.32.154,4,4,0.00,172.22,0.00,N/A
104.16.54.246,4,4,0.00,172.26,0.00,N/A
104.16.194.81,4,4,0.00,172.26,0.00,N/A
162.159.58.44,4,4,0.00,172.27,0.00,N/A
172.64.49.150,4,4,0.00,172.31,0.00,N/A
198.41.195.235,4,4,0.00,172.32,0.00,N/A
198.41.205.109,4,4,0.00,172.32,0.00,N/A
104.16.20.229,4,4,0.00,172.33,0.00,N/A
104.16.25.39,4,4,0.00,172.36,0.00,N/A
162.159.13.177,4,4,0.00,172.37,0.00,N/A
104.17.201.12,4,4,0.00,172.42,0.00,N/A
172.65.2.207,4,4,0.00,172.43,0.00,N/A
104.16.105.108,4,4,0.00,172.49,0.00,N/A
162.159.45.131,4,4,0.00,172.51,0.00,N/A
162.159.16.166,4,4,0.00,172.51,0.00,N/A
104.16.185.69,4,4,0.00,172.58,0.00,N/A
